epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,262.953,1.43064,1.69125,1.29789,0.78727,0.78073,0.87786,0.5224,1.49324,1.50174,1.41663,0.000360055,0.000360055,0.000360055
63,267.274,1.35542,1.46414,1.27165,0.78727,0.78073,0.87786,0.5224,1.49324,1.50174,1.41663,0.000351056,0.000351056,0.000351056
64,271.383,1.34002,1.53293,1.26484,0.78727,0.78073,0.87786,0.5224,1.49324,1.50174,1.41663,0.000342057,0.000342057,0.000342057
65,275.524,1.36749,1.51449,1.29206,0.76797,0.7878,0.84724,0.49934,1.47774,1.5466,1.42238,0.000333058,0.000333058,0.000333058
66,279.746,1.38971,1.40726,1.24441,0.76797,0.7878,0.84724,0.49934,1.47774,1.5466,1.42238,0.000324058,0.000324058,0.000324058
67,283.894,1.3684,1.42671,1.25615,0.83587,0.76958,0.8884,0.52747,1.49167,1.51495,1.41367,0.000315059,0.000315059,0.000315059
68,288.187,1.30209,1.29244,1.26375,0.83587,0.76958,0.8884,0.52747,1.49167,1.51495,1.41367,0.00030606,0.00030606,0.00030606
69,292.35,1.39903,1.52387,1.26334,0.82142,0.80938,0.88552,0.53289,1.46705,1.41186,1.3949,0.000297061,0.000297061,0.000297061
70,296.62,1.38396,1.38554,1.2716,0.82142,0.80938,0.88552,0.53289,1.46705,1.41186,1.3949,0.000288062,0.000288062,0.000288062
71,300.817,1.36029,1.38473,1.32074,0.82142,0.80938,0.88552,0.53289,1.46705,1.41186,1.3949,0.000279063,0.000279063,0.000279063
72,305.227,1.2336,1.29345,1.1811,0.86523,0.83158,0.90429,0.55507,1.47104,1.35253,1.38718,0.000270064,0.000270064,0.000270064
73,309.455,1.25834,1.37899,1.24879,0.86523,0.83158,0.90429,0.55507,1.47104,1.35253,1.38718,0.000261065,0.000261065,0.000261065
74,313.864,1.20937,1.41906,1.23089,0.91161,0.82298,0.91527,0.56652,1.47732,1.31541,1.38387,0.000252066,0.000252066,0.000252066
75,318.305,1.35166,1.34241,1.25411,0.91161,0.82298,0.91527,0.56652,1.47732,1.31541,1.38387,0.000243067,0.000243067,0.000243067
